Sample,Phylum,Class,Order,Family,Genus,Species,Percent
9_70m,Rhizaria,Rhizaria,RAD-B,RAD-B_X,RAD-B_X_Group-III,RAD-B_X_Group-III_X,0.0436872
9_70m,Rhizaria,Rhizaria,RAD-B,RAD-B_X,RAD-B_X_Group-IV_X,RAD-B_X_Group-IV_XX,0.0436872
9_70m,Rhizaria,Rhizaria,RAD-B,RAD-B_X,RAD-B_X_Group-IVe,RAD-B_X_Group-IVe_X,0.0436872
9_70m,Rhizaria,Rhizaria,RAD-B,RAD-B_X,RAD-B_X_unclassified,RAD-B_X_unclassified,0.262123198
9_70m,Rhizaria,Rhizaria,RAD-C,RAD-C_X,RAD-C_Xb,RAD-C_Xb_X,0.0436872
9_70m,Rhizaria,Rhizaria,Radiolaria_unclassified,Radiolaria_unclassified,Radiolaria_unclassified,Radiolaria_unclassified,0.087374399
9_70m,Rhizaria,Rhizaria,Rhizaria_unclassified,Rhizaria_unclassified,Rhizaria_unclassified,Rhizaria_unclassified,0.218435998
9_70m,Stramenopiles,Diatom,Bacillariophyta,Bacillariophyta_X,Bacillariophyta_X_unclassified,Bacillariophyta_X_unclassified,1.092179991
9_70m,Stramenopiles,Diatom,Bacillariophyta,Bacillariophyta_X,Polar-centric-Mediophyceae,Bacteriastrum,0.0436872
9_70m,Stramenopiles,Diatom,Bacillariophyta,Bacillariophyta_X,Polar-centric-Mediophyceae,Polar-centric-Mediophyceae_unclassified,0.0436872
9_70m,Stramenopiles,Diatom,Bacillariophyta,Bacillariophyta_X,Raphid-pennate,Raphid-pennate_unclassified,0.0436872
9_70m,Stramenopiles,Other stramenopiles,Dictyochophyceae,Dictyochophyceae_X,Dictyochales,Dictyochales_unclassified,0.087374399
9_70m,Stramenopiles,Other stramenopiles,Dictyochophyceae,Dictyochophyceae_X,Dictyochophyceae_X_unclassified,Dictyochophyceae_X_unclassified,0.087374399
9_70m,Stramenopiles,Other stramenopiles,MOCH-2,MOCH-2_X,MOCH-2_XX,MOCH-2_XXX,0.087374399
9_70m,Stramenopiles,Other stramenopiles,MOCH-4,MOCH-4_X,MOCH-4_XX,MOCH-4_XXX,0.087374399
9_70m,Stramenopiles,Other stramenopiles,Ochrophyta_unclassified,Ochrophyta_unclassified,Ochrophyta_unclassified,Ochrophyta_unclassified,0.698995194
9_70m,Stramenopiles,Other stramenopiles,Pelagophyceae,Pelagomonadales,Pelagomonadaceae,Pelagomonadaceae_unclassified,0.0436872
