"","sample_names[1]","Phylum","Class","Order","Family","Genus","Species","SUM"
"91","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Rhizaria","Radiolaria","RAD-B","RAD-B_X","RAD-B_X_Group-Ia","RAD-B_X_Group-Ia_X",2
"92","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Rhizaria","Radiolaria","RAD-B","RAD-B_X","RAD-B_X_Group-Ib","RAD-B_X_Group-Ib_X",1
"93","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Rhizaria","Radiolaria","RAD-B","RAD-B_X","RAD-B_X_Group-Ic","RAD-B_X_Group-Ic_X",2
"94","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Rhizaria","Radiolaria","RAD-B","RAD-B_X","RAD-B_X_Group-II","RAD-B_X_Group-II_X",4
"95","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Rhizaria","Radiolaria","RAD-B","RAD-B_X","RAD-B_X_Group-IVe","RAD-B_X_Group-IVe_X",1
"96","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Rhizaria","Radiolaria","RAD-B","RAD-B_X","RAD-B_X_unclassified","RAD-B_X_unclassified",11
"97","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Rhizaria","Radiolaria","RAD-C","RAD-C_X","RAD-C_Xa","RAD-C_Xa_X",3
"98","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Rhizaria","Radiolaria","RAD-C","RAD-C_X","RAD-C_Xb","RAD-C_Xb_X",17
"99","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Rhizaria","Radiolaria","Radiolaria_unclassified","Radiolaria_unclassified","Radiolaria_unclassified","Radiolaria_unclassified",3
"100","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Rhizaria","Rhizaria_unclassified","Rhizaria_unclassified","Rhizaria_unclassified","Rhizaria_unclassified","Rhizaria_unclassified",1
"101","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Araphid-pennate","Araphid-pennate_unclassified",4
"102","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Bacillariophyta_X_unclassified","Bacillariophyta_X_unclassified",59
"103","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Raphid-pennate_unclassified",7
"104","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Stramenopiles","Ochrophyta","Chrysophyceae","Chrysophyceae_X","Chrysophyceae_Clade-G","Chrysophyceae_Clade-G_X",1
"105","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Stramenopiles","Ochrophyta","Dictyochophyceae","Dictyochophyceae_X","Dictyochales","Dictyocha",2
"106","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Stramenopiles","Ochrophyta","Dictyochophyceae","Dictyochophyceae_X","Dictyochophyceae_X_unclassified","Dictyochophyceae_X_unclassified",8
"107","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Stramenopiles","Ochrophyta","Dictyochophyceae","Dictyochophyceae_X","Florenciellales","Pseudochattonella",3
"108","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Stramenopiles","Ochrophyta","Dictyochophyceae","Dictyochophyceae_X","Pedinellales","Pedinellales_unclassified",5
"109","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Stramenopiles","Ochrophyta","MOCH-2","MOCH-2_X","MOCH-2_XX","MOCH-2_XXX",12
"110","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Stramenopiles","Ochrophyta","Ochrophyta_unclassified","Ochrophyta_unclassified","Ochrophyta_unclassified","Ochrophyta_unclassified",24
"111","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Stramenopiles","Ochrophyta","Pelagophyceae","Pelagomonadales","Pelagomonadaceae","Pelagomonadaceae_clade_D1",7
"112","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Stramenopiles","Ochrophyta","Pelagophyceae","Pelagomonadales","Pelagomonadaceae","Pelagomonadaceae_unclassified",17
"113","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Stramenopiles","Ochrophyta","Pelagophyceae","Pelagomonadales","Pelagomonadales_unclassified","Pelagomonadales_unclassified",79
"114","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Stramenopiles","Ochrophyta","Pelagophyceae","Pelagophyceae_unclassified","Pelagophyceae_unclassified","Pelagophyceae_unclassified",16
"115","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Stramenopiles","Opalozoa","MAST-3","MAST-3_unclassified","MAST-3_unclassified","MAST-3_unclassified",1
"116","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Stramenopiles","Opalozoa","MAST-3","MAST-3B","MAST-3B_X","MAST-3B_XX",9
"117","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Stramenopiles","Opalozoa","MAST-3","MAST-3C","MAST-3C_X","MAST-3C_XX",2
"118","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Stramenopiles","Opalozoa","MAST-3","MAST-3D","MAST-3D_X","MAST-3D_XX",4
"119","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Stramenopiles","Opalozoa","MAST-3","MAST-3E","MAST-3E_X","MAST-3E_XX",12
"120","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Stramenopiles","Opalozoa","MAST-3","MAST-3I","MAST-3I_X","MAST-3I_XX",51
"121","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Stramenopiles","Opalozoa","Opalozoa_unclassified","Opalozoa_unclassified","Opalozoa_unclassified","Opalozoa_unclassified",4
"122","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Stramenopiles","Pseudofungi","MAST-1","MAST-1C","MAST-1C_X","MAST-1C_XX",2
"123","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Stramenopiles","Pseudofungi","MAST-1","MAST-1D","MAST-1D_X","MAST-1D_XX",12
"124","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Stramenopiles","Pseudofungi","Pseudofungi_unclassified","Pseudofungi_unclassified","Pseudofungi_unclassified","Pseudofungi_unclassified",1
"125","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Stramenopiles","Sagenista","Labyrinthulomycetes","Labyrinthulomycetes_X","Labyrinthulomycetes_X_LAB14","Labyrinthulomycetes_X_LAB14_X",3
