"","x"
"71","M00436_250_000000000-B2LGJ_1_1101_9899_10897	Eukaryota(100);Stramenopiles(87);Stramenopiles_unclassified(87);Stramenopiles_unclassified(87);Stramenopiles_unclassified(87);Stramenopiles_unclassified(87);Stramenopiles_unclassified(87);Stramenopiles_unclassified(87);"
"72","M00436_250_000000000-B2LGJ_1_1102_19390_23520	Eukaryota(100);Rhizaria(99);Radiolaria(98);RAD-B(96);RAD-B_X(96);RAD-B_X_unclassified(96);RAD-B_X_unclassified(96);RAD-B_X_unclassified(96);"
"73","M00436_250_000000000-B2LGJ_1_2114_20486_15750	Eukaryota(100);Stramenopiles(91);Ochrophyta(91);Bacillariophyta(90);Bacillariophyta_X(90);Bacillariophyta_X_unclassified(90);Bacillariophyta_X_unclassified(90);Bacillariophyta_X_unclassified(90);"
"74","M00436_250_000000000-B2LGJ_1_2112_14974_18158	Eukaryota(100);Alveolata(85);Alveolata_unclassified(85);Alveolata_unclassified(85);Alveolata_unclassified(85);Alveolata_unclassified(85);Alveolata_unclassified(85);Alveolata_unclassified(85);"
"75","M00436_250_000000000-B2LGJ_1_1102_6419_13469	Eukaryota(100);Stramenopiles(93);Pseudofungi(83);Pseudofungi_unclassified(83);Pseudofungi_unclassified(83);Pseudofungi_unclassified(83);Pseudofungi_unclassified(83);Pseudofungi_unclassified(83);"
"76","M00436_250_000000000-B2LGJ_1_1111_9482_19477	Eukaryota(100);Rhizaria(100);Radiolaria(100);RAD-B(100);RAD-B_X(100);RAD-B_X_Group-IVe(100);RAD-B_X_Group-IVe_X(100);RAD-B_X_Group-IVe_X_sp.(100);"
"77","M00436_250_000000000-B2LGJ_1_1112_3890_20092	Eukaryota(100);Stramenopiles(99);Sagenista(99);MAST-4(98);MAST-4C(98);MAST-4C_X(98);MAST-4C_XX(98);MAST-4C_XX_sp.(98);"
"78","M00436_250_000000000-B2LGJ_1_1102_19215_11831	Eukaryota(100);Stramenopiles(96);Ochrophyta(89);Pelagophyceae(86);Pelagophyceae_unclassified(86);Pelagophyceae_unclassified(86);Pelagophyceae_unclassified(86);Pelagophyceae_unclassified(86);"
"79","M00436_250_000000000-B2LGJ_1_1106_27196_11257	Eukaryota(100);Stramenopiles(100);Sagenista(98);MAST-4(95);MAST-4C(85);MAST-4C_X(85);MAST-4C_XX(85);MAST-4C_XX_sp.(85);"
"80","M00436_250_000000000-B2LGJ_1_2112_20791_19070	Eukaryota(100);Stramenopiles(98);Ochrophyta(98);Bacillariophyta(98);Bacillariophyta_X(98);Bacillariophyta_X_unclassified(98);Bacillariophyta_X_unclassified(98);Bacillariophyta_X_unclassified(98);"
"81","M00436_250_000000000-B2LGJ_1_1101_18334_18096	Eukaryota(100);Stramenopiles(95);Ochrophyta(90);Pelagophyceae(86);Pelagophyceae_unclassified(86);Pelagophyceae_unclassified(86);Pelagophyceae_unclassified(86);Pelagophyceae_unclassified(86);"
"82","M00436_250_000000000-B2LGJ_1_2113_10356_15711	Eukaryota(100);Archaeplastida(95);Chlorophyta(94);Chloropicophyceae(93);Chloropicales(93);Chloropicaceae(93);Chloropicon(93);Chloropicon_roscoffensis(90);"
"83","M00436_250_000000000-B2LGJ_1_2114_26323_11428	Eukaryota(100);Alveolata(100);Dinoflagellata(100);Dinophyceae(100);Gymnodiniales(95);Gymnodiniaceae(94);Gyrodinium(93);Gyrodinium_gutrula(93);"
"84","M00436_250_000000000-B2LGJ_1_1107_18370_5414	Eukaryota(88);Eukaryota_unclassified(88);Eukaryota_unclassified(88);Eukaryota_unclassified(88);Eukaryota_unclassified(88);Eukaryota_unclassified(88);Eukaryota_unclassified(88);Eukaryota_unclassified(88);"
"85","M00436_250_000000000-B2LGJ_1_1113_20707_22059	Eukaryota(100);Stramenopiles(87);Ochrophyta(84);Bacillariophyta(84);Bacillariophyta_X(84);Bacillariophyta_X_unclassified(84);Bacillariophyta_X_unclassified(84);Bacillariophyta_X_unclassified(84);"
"86","M00436_250_000000000-B2LGJ_1_1110_4156_18443	Eukaryota(100);Rhizaria(100);Radiolaria(100);RAD-B(100);RAD-B_X(100);RAD-B_X_Group-IVe(100);RAD-B_X_Group-IVe_X(100);RAD-B_X_Group-IVe_X_sp.(100);"
"87","M00436_250_000000000-B2LGJ_1_2101_9433_12496	Eukaryota(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);"
"88","M00436_250_000000000-B2LGJ_1_1114_16681_25205	Eukaryota(100);Archaeplastida(81);Chlorophyta(80);Chlorophyta_unclassified(80);Chlorophyta_unclassified(80);Chlorophyta_unclassified(80);Chlorophyta_unclassified(80);Chlorophyta_unclassified(80);"
"89","M00436_250_000000000-B2LGJ_1_1103_10642_12891	Eukaryota(94);Eukaryota_unclassified(94);Eukaryota_unclassified(94);Eukaryota_unclassified(94);Eukaryota_unclassified(94);Eukaryota_unclassified(94);Eukaryota_unclassified(94);Eukaryota_unclassified(94);"
"90","M00436_250_000000000-B2LGJ_1_2112_12291_17904	Eukaryota(100);Stramenopiles(98);Ochrophyta(95);Pelagophyceae(94);Pelagomonadales(87);Pelagomonadales_unclassified(87);Pelagomonadales_unclassified(87);Pelagomonadales_unclassified(87);"
"91","M00436_250_000000000-B2LGJ_1_2114_22219_12883	Eukaryota(100);Stramenopiles(100);Pseudofungi(94);MAST-1(94);MAST-1D(94);MAST-1D_X(94);MAST-1D_XX(94);MAST-1D_XX_sp.(94);"
"92","M00436_250_000000000-B2LGJ_1_2113_24810_15206	Eukaryota(100);Alveolata(98);Ciliophora(98);Spirotrichea(98);Strombidiida(86);Strombidiida_unclassified(86);Strombidiida_unclassified(86);Strombidiida_unclassified(86);"
"93","M00436_250_000000000-B2LGJ_1_2101_17759_17923	Eukaryota(100);Stramenopiles(93);Ochrophyta(93);MOCH-2(93);MOCH-2_X(93);MOCH-2_XX(93);MOCH-2_XXX(93);MOCH-2_XXX_sp.(93);"
"94","M00436_250_000000000-B2LGJ_1_1112_10198_11201	Eukaryota(100);Alveolata(96);Ciliophora(96);Spirotrichea(96);Strombidiida(96);Strombidiida_unclassified(96);Strombidiida_unclassified(96);Strombidiida_unclassified(96);"
"95","M00436_250_000000000-B2LGJ_1_1105_15832_11765	Eukaryota(100);Stramenopiles(97);Opalozoa(94);MAST-3(93);MAST-3I(93);MAST-3I_X(93);MAST-3I_XX(93);MAST-3I_XX_sp.(93);"
"96","M00436_250_000000000-B2LGJ_1_1102_11514_2521	Eukaryota(100);Stramenopiles(97);Opalozoa(93);MAST-3(91);MAST-3I(91);MAST-3I_X(91);MAST-3I_XX(91);MAST-3I_XX_sp.(91);"
"97","M00436_250_000000000-B2LGJ_1_1112_25192_10965	Eukaryota(96);Eukaryota_unclassified(96);Eukaryota_unclassified(96);Eukaryota_unclassified(96);Eukaryota_unclassified(96);Eukaryota_unclassified(96);Eukaryota_unclassified(96);Eukaryota_unclassified(96);"
"98","M00436_250_000000000-B2LGJ_1_2113_25156_21422	Eukaryota(100);Stramenopiles(100);Sagenista(98);MAST-4(95);MAST-4C(85);MAST-4C_X(85);MAST-4C_XX(85);MAST-4C_XX_sp.(85);"
"99","M00436_250_000000000-B2LGJ_1_1114_9537_15725	Eukaryota(100);Alveolata(99);Dinoflagellata(99);Dinophyceae(96);Dinophyceae_unclassified(96);Dinophyceae_unclassified(96);Dinophyceae_unclassified(96);Dinophyceae_unclassified(96);"
"100","M00436_250_000000000-B2LGJ_1_1111_22063_18111	Eukaryota(100);Stramenopiles(82);Stramenopiles_unclassified(82);Stramenopiles_unclassified(82);Stramenopiles_unclassified(82);Stramenopiles_unclassified(82);Stramenopiles_unclassified(82);Stramenopiles_unclassified(82);"
"101","M00436_250_000000000-B2LGJ_1_1113_13436_20003	Eukaryota(100);Stramenopiles(99);Opalozoa(97);MAST-3(97);MAST-3I(97);MAST-3I_X(97);MAST-3I_XX(97);MAST-3I_XX_sp.(97);"
"102","M00436_250_000000000-B2LGJ_1_1113_6066_23700	Eukaryota(100);Alveolata(100);Dinoflagellata(99);Dinophyceae(98);Dinophyceae_unclassified(98);Dinophyceae_unclassified(98);Dinophyceae_unclassified(98);Dinophyceae_unclassified(98);"
"103","M00436_250_000000000-B2LGJ_1_1114_19478_10817	Eukaryota(100);Alveolata(98);Ciliophora(98);Spirotrichea(98);Strombidiida_F(86);Strombidiida_F_X(86);Strombidiida_F_XX(86);Strombidiida_F_XX_sp.(86);"
"104","M00436_250_000000000-B2LGJ_1_1111_14687_11036	Eukaryota(98);Eukaryota_unclassified(98);Eukaryota_unclassified(98);Eukaryota_unclassified(98);Eukaryota_unclassified(98);Eukaryota_unclassified(98);Eukaryota_unclassified(98);Eukaryota_unclassified(98);"
"105","M00436_250_000000000-B2LGJ_1_1109_16801_13401	Eukaryota(100);Stramenopiles(99);Opalozoa(95);MAST-3(94);MAST-3I(94);MAST-3I_X(94);MAST-3I_XX(94);MAST-3I_XX_sp.(94);"
